1.110,2.440,9.030,-0.020,0.080,0.040,0.000
1.150,2.450,9.000,-0.030,0.080,0.040,0.000
1.120,2.460,9.000,-0.030,0.080,0.040,0.000
1.150,2.460,9.040,-0.020,0.080,0.040,0.000
1.140,2.470,9.020,-0.020,0.080,0.040,0.000
1.130,2.460,9.030,-0.020,0.080,0.040,0.000
1.140,2.470,9.020,-0.020,0.080,0.040,0.000
1.100,2.460,9.010,-0.020,0.080,0.040,0.000
1.130,2.460,9.020,-0.030,0.080,0.040,0.000
1.100,2.460,9.020,-0.030,0.080,0.040,0.000
1.100,2.460,9.070,-0.030,0.080,0.040,0.000
1.150,2.470,9.050,-0.030,0.080,0.040,0.000
1.110,2.460,9.050,-0.030,0.080,0.040,0.000
1.120,2.470,9.040,-0.030,0.080,0.040,0.000
1.120,2.480,9.060,-0.030,0.080,0.040,0.000
1.110,2.460,9.050,-0.030,0.080,0.040,0.000
1.140,2.490,9.040,-0.030,0.080,0.040,0.000
1.100,2.470,9.050,-0.030,0.080,0.040,0.000
1.130,2.480,9.040,-0.030,0.080,0.040,0.000
1.140,2.480,9.040,-0.030,0.080,0.040,0.000
1.110,2.460,9.010,-0.030,0.080,0.040,0.000
1.160,2.450,9.040,-0.030,0.080,0.040,0.000
1.130,2.440,9.020,-0.030,0.080,0.040,0.000
1.150,2.460,9.010,-0.030,0.080,0.040,0.000
1.130,2.460,9.020,-0.030,0.080,0.040,0.000
1.100,2.440,9.030,-0.030,0.080,0.040,0.000
1.130,2.440,9.050,-0.030,0.080,0.040,0.000
1.100,2.430,9.030,-0.030,0.080,0.040,0.000
1.140,2.440,9.050,-0.030,0.080,0.040,0.000
1.120,2.420,9.050,-0.030,0.080,0.040,0.000
1.110,2.430,9.030,-0.030,0.080,0.040,0.000
1.140,2.440,9.040,-0.030,0.080,0.040,0.000
1.100,2.430,9.040,-0.030,0.080,0.040,0.000
1.120,2.430,9.030,-0.030,0.080,0.040,0.000
1.100,2.440,9.050,-0.030,0.080,0.040,0.000
1.090,2.440,9.030,-0.030,0.080,0.040,0.000
1.140,2.440,9.020,-0.030,0.080,0.040,0.000
1.110,2.430,9.030,-0.030,0.080,0.040,0.000
1.130,2.450,9.030,-0.030,0.080,0.040,0.000
1.120,2.450,9.050,-0.030,0.080,0.040,0.000
1.100,2.430,9.030,-0.030,0.080,0.040,0.000
1.130,2.450,9.030,-0.030,0.080,0.040,0.000
1.090,2.430,9.040,-0.030,0.080,0.040,0.000
1.120,2.440,9.050,-0.030,0.080,0.040,0.000
1.110,2.460,9.040,-0.030,0.080,0.040,0.000
1.140,2.450,9.030,-0.020,0.080,0.040,0.000
1.110,2.450,9.020,-0.020,0.080,0.040,0.000
1.130,2.460,9.040,-0.030,0.080,0.040,0.000
1.100,2.460,9.070,-0.030,0.080,0.040,0.000
1.090,2.460,9.060,-0.030,0.080,0.040,0.000
1.130,2.480,9.060,-0.020,0.080,0.040,0.000
1.100,2.470,9.050,-0.030,0.080,0.040,0.000
1.130,2.480,9.030,-0.030,0.080,0.040,0.000
1.110,2.480,9.040,-0.030,0.080,0.040,0.000
1.090,2.460,9.030,-0.030,0.080,0.040,0.000
1.140,2.480,9.030,-0.030,0.080,0.040,0.000
1.100,2.460,9.040,-0.030,0.080,0.040,0.000
1.120,2.460,9.050,-0.030,0.080,0.040,0.000
1.120,2.480,9.040,-0.030,0.080,0.040,0.000
1.100,2.450,9.030,-0.030,0.080,0.040,0.000
1.100,2.470,9.000,-0.030,0.080,0.040,0.000
1.120,2.470,9.010,-0.030,0.080,0.040,0.000
1.110,2.470,9.020,-0.030,0.080,0.040,0.000
1.110,2.460,9.020,-0.030,0.080,0.040,0.000
1.160,2.470,9.030,-0.030,0.080,0.040,0.000
1.110,2.450,9.030,-0.030,0.080,0.040,0.000
1.120,2.460,9.050,-0.030,0.080,0.040,0.000
1.130,2.450,9.030,-0.030,0.080,0.040,0.000
1.120,2.440,9.040,-0.030,0.080,0.040,0.000
1.140,2.460,9.030,-0.030,0.080,0.040,0.000
1.100,2.440,9.030,-0.030,0.080,0.040,0.000
1.130,2.430,9.040,-0.030,0.080,0.040,0.000
1.130,2.450,9.030,-0.030,0.080,0.040,0.000
1.100,2.440,9.020,-0.030,0.080,0.040,0.000
1.140,2.450,9.010,-0.030,0.080,0.040,0.000
1.100,2.430,8.990,-0.030,0.080,0.040,0.000
1.120,2.440,9.000,-0.030,0.080,0.040,0.000
1.120,2.440,9.000,-0.030,0.080,0.040,0.000
1.090,2.430,9.010,-0.030,0.080,0.040,0.000
1.130,2.440,9.010,-0.030,0.080,0.040,0.000
1.100,2.450,9.030,-0.030,0.080,0.040,0.000
1.110,2.450,9.000,-0.030,0.080,0.040,0.000
1.140,2.470,9.020,-0.030,0.080,0.040,0.000
1.100,2.450,9.040,-0.030,0.080,0.040,0.000
1.120,2.440,9.050,-0.030,0.080,0.040,0.000
1.100,2.440,9.030,-0.030,0.080,0.040,0.000
1.130,2.450,9.020,-0.030,0.080,0.040,0.000
1.080,2.430,9.010,-0.030,0.080,0.040,0.000
1.120,2.440,9.030,-0.030,0.080,0.040,0.000
